#{"t_start": 1737965427.0361888, "env_id": "None"}
r,l,t
6.0,10,9.948408
6.0,11,9.953858
7.0,10,9.958989
7.0,10,9.964216
6.0,12,9.970345
5.0,10,9.975402
7.0,10,9.980468
3.0,13,9.986824
6.0,10,9.99179
7.0,11,9.997232
5.0,12,10.003151
7.0,10,10.008143
3.0,15,10.015505
5.0,11,10.020959
4.0,12,10.026769
8.0,10,10.03171
5.0,13,10.038008
9.0,10,10.042964
4.0,12,10.048797
4.0,14,10.055644
8.0,10,10.060545
9.0,10,10.065495
7.0,10,10.070398
6.0,10,10.075378
6.0,10,10.080275
5.0,11,10.085579
3.0,13,10.574749
9.0,10,10.579916
6.0,10,10.584991
6.0,10,10.590036
6.0,11,10.595503
8.0,10,10.600534
3.0,14,10.607379
7.0,10,10.612404
5.0,12,10.618337
4.0,14,10.625336
6.0,11,10.630773
6.0,10,10.635697
2.0,13,10.642015
7.0,11,10.647409
6.0,11,10.652895
7.0,13,10.659205
7.0,10,10.664067
6.0,11,10.669542
4.0,13,10.67622
7.0,10,10.681449
5.0,12,10.687473
2.0,15,10.694966
5.0,12,10.700797
8.0,10,10.705794
7.0,11,10.711201
8.0,10,10.716128
3.0,14,10.722896
7.0,10,10.727831
7.0,10,10.73278
7.0,10,10.737747
6.0,10,10.742642
7.0,10,10.747775
6.0,10,10.752858
7.0,10,10.75782
7.0,10,10.762716
5.0,13,10.769022
8.0,10,10.773971
7.0,11,10.779372
4.0,11,10.784787
4.0,13,10.791157
5.0,11,10.796647
6.0,11,10.802016
5.0,13,10.808323
6.0,11,10.813745
5.0,12,10.81969
5.0,11,11.313701
6.0,12,11.320101
-3.0,20,11.330084
0.0,18,11.338897
7.0,10,11.343917
5.0,13,11.350396
6.0,11,11.35587
8.0,10,11.360998
7.0,11,11.366495
3.0,14,11.373362
9.0,10,11.378271
9.0,10,11.383175
6.0,12,11.389118
6.0,10,11.394064
2.0,14,11.400954
6.0,10,11.405846
6.0,11,11.411318
7.0,10,11.416282
3.0,14,11.423238
1.0,17,11.431701
6.0,10,11.436877
5.0,13,11.443379
7.0,10,11.448539
7.0,11,11.453961
7.0,10,11.458988
7.0,11,11.464498
2.0,14,11.471394
7.0,11,11.47686
-3.0,19,11.485887
2.0,15,11.493141
3.0,13,11.499591
2.0,16,11.507328
7.0,11,11.51283
6.0,11,11.518262
-1.0,16,11.525957
5.0,10,11.530917
6.0,13,11.537254
6.0,12,11.543161
2.0,14,11.549996
5.0,12,11.555801
6.0,11,11.561183
6.0,11,12.049519
2.0,14,12.056852
8.0,10,12.061976
8.0,10,12.067022
7.0,12,12.072962
4.0,13,12.079362
7.0,12,12.085279
4.0,11,12.09077
4.0,13,12.097103
5.0,11,12.102603
4.0,13,12.109095
2.0,14,12.115925
9.0,10,12.121076
7.0,11,12.126403
7.0,11,12.131888
0.0,16,12.13972
5.0,13,12.146102
4.0,11,12.151537
8.0,10,12.15654
0.0,16,12.164338
7.0,10,12.169256
5.0,12,12.17537
4.0,13,12.182318
5.0,12,12.189083
6.0,11,12.1948
5.0,11,12.20033
6.0,12,12.206254
5.0,13,12.212622
4.0,13,12.219027
5.0,12,12.224914
7.0,10,12.229812
6.0,11,12.23523
6.0,11,12.240614
6.0,12,12.246423
4.0,13,12.252711
8.0,10,12.257636
8.0,10,12.262599
3.0,13,12.269003
0.0,17,12.277278
8.0,10,12.282191
6.0,12,12.288026
9.0,10,12.292892
8.0,10,12.297907
6.0,11,12.790224
6.0,12,12.796807
4.0,13,12.803457
8.0,10,12.808598
9.0,10,12.813607
1.0,14,12.820543
2.0,13,12.826918
-4.0,19,12.83625
6.0,12,12.842187
7.0,10,12.847187
4.0,10,12.852096
7.0,11,12.857565
6.0,11,12.862907
6.0,11,12.868315
4.0,13,12.874693
1.0,15,12.882037
6.0,10,12.887038
4.0,11,12.892516
4.0,14,12.899444
6.0,11,12.904871
6.0,11,12.910309
5.0,12,12.916194
2.0,14,12.923451
5.0,11,12.928905
5.0,11,12.934427
5.0,12,12.94047
4.0,11,12.946041
2.0,14,12.952921
3.0,15,12.960242
7.0,11,12.965677
7.0,11,12.971069
6.0,11,12.976543
7.0,11,12.981954
8.0,10,12.987104
7.0,10,12.992085
6.0,11,12.997457
5.0,12,13.00335
4.0,13,13.009659
5.0,12,13.015513
7.0,10,13.020397
6.0,11,13.025904
4.0,11,13.031261
8.0,10,13.036201
9.0,10,13.041128
6.0,11,13.53508
2.0,16,13.543326
6.0,12,13.549326
4.0,13,13.555916
2.0,13,13.562405
7.0,10,13.56738
3.0,13,13.573808
4.0,13,13.580127
7.0,10,13.585161
7.0,11,13.590645
6.0,11,13.596056
6.0,12,13.601986
4.0,12,13.607843
3.0,14,13.614692
3.0,14,13.621744
6.0,13,13.628167
7.0,11,13.633661
6.0,10,13.638534
8.0,11,13.643945
5.0,10,13.648911
6.0,12,13.654848
3.0,13,13.661226
7.0,10,13.666158
5.0,12,13.672094
3.0,13,13.678959
6.0,12,13.684976
7.0,11,13.6905
5.0,12,13.696437
8.0,11,13.701924
4.0,12,13.70784
1.0,15,13.715144
8.0,10,13.72009
1.0,16,13.727913
4.0,12,13.73381
3.0,12,13.739643
6.0,11,13.745092
10.0,10,13.749991
7.0,10,13.754951
7.0,10,13.759846
7.0,11,13.76524
5.0,12,13.771122
5.0,11,13.776587
7.0,11,13.781995
4.0,13,14.27296
4.0,13,14.279716
8.0,11,14.285237
1.0,15,14.292633
1.0,14,14.2995
4.0,13,14.306048
6.0,10,14.311079
7.0,11,14.316529
4.0,12,14.322447
7.0,11,14.328136
5.0,11,14.333768
5.0,13,14.340184
3.0,15,14.34752
5.0,11,14.353
7.0,10,14.357919
6.0,10,14.362838
8.0,10,14.367804
5.0,12,14.373666
3.0,13,14.379951
4.0,12,14.385842
7.0,10,14.390817
5.0,12,14.396662
4.0,12,14.40257
7.0,10,14.407462
5.0,12,14.413341
5.0,13,14.419732
0.0,17,14.42793
4.0,11,14.433291
7.0,10,14.438565
5.0,12,14.444475
8.0,10,14.449513
5.0,12,14.455368
6.0,12,14.461224
7.0,11,14.466697
7.0,10,14.471611
6.0,11,14.477042
7.0,11,14.482432
8.0,10,14.487307
7.0,10,14.492215
8.0,10,14.497165
1.0,16,14.504921
5.0,10,14.509809
5.0,11,14.515214
6.0,10,14.520221
